,bike_name,price,kms_driven,age,brand,Owner_Type
4918,Yamaha YZF-R15 2.0,46000,49994,9,Yamaha,0
4919,Yamaha SZR 150cc,19000,17999,9,Yamaha,0
4920,Yamaha Gladiator 125cc,9400,70000,12,Yamaha,2
4921,Yamaha FZ V,26000,34000,8,Yamaha,0
4923,Bajaj Pulsar 150cc,6700,81000,17,Bajaj,0
4924,Yamaha FZ V,52800,22000,4,Yamaha,0
4925,Yamaha FZ V,54000,5020,4,Yamaha,2
4926,Yamaha FZs 150cc,35000,18227,9,Yamaha,0
4927,Hero CBZ Xtreme,9000,62135,13,Hero,2
4929,Honda Livo Disc,40000,24134,4,Honda,0
4930,TVS Apache RTR,60000,14525,3,TVS,0
4931,Royal Enfield Classic,165000,11500,4,Royal Enfield,0
4932,Honda CD 110,28400,18958,5,Honda,0
4933,Bajaj Discover 150F,21000,50000,7,Bajaj,0
4934,Yamaha YZF-R15 150cc,30000,27000,12,Yamaha,0
4935,Hero Passion Pro,16000,35000,12,Hero,0
4936,Hero Splendor Plus,18000,17989,11,Hero,0
4938,Royal Enfield Bullet,85000,11766,8,Royal Enfield,0
4939,TVS Apache RTR,30000,42175,8,TVS,0
4940,Royal Enfield Thunderbird,88400,22500,6,Royal Enfield,0
4941,Royal Enfield Classic,121400,18500,6,Royal Enfield,0
4942,Royal Enfield Thunderbird,110000,23350,7,Royal Enfield,0
4943,Honda CB Unicorn,53000,14432,4,Honda,0
4944,TVS Star Sport,34000,5400,5,TVS,0
4946,Hero Super Splendor,25000,35000,8,Hero,0
4947,Yamaha FZ16 150cc,38000,12250,10,Yamaha,0
4948,KTM RC 390cc,175000,10880,4,KTM,0
4949,Bajaj Pulsar 220F,90000,2463,3,Bajaj,0
4951,Hero Splendor Plus,27000,61421,8,Hero,0
4952,Suzuki Gixxer SF,50000,15600,5,Suzuki,0
4953,Hero Passion Pro,30000,19546,8,Hero,0
4954,Jawa Forty Two,146000,381,2,Jawa,0
4955,KTM RC 390cc,111400,13600,6,KTM,0
4956,Bajaj Avenger Street,66000,26592,4,Bajaj,0
4958,Yamaha YZF-R15 2.0,60000,52000,8,Yamaha,0
4959,Bajaj Platina 110,55000,5200,2,Bajaj,0
4960,LML Freedom DX,4400,55000,16,LML,0
4961,Hero HF Deluxe,34000,21163,4,Hero,0
4963,Royal Enfield Thunderbird,81000,39865,6,Royal Enfield,0
4964,KTM Duke 390cc,175000,34000,4,KTM,0
4965,Royal Enfield Thunderbird,83000,49000,7,Royal Enfield,2
4966,Hero Splendor iSmart,25000,12537,6,Hero,0
4967,Suzuki Gixxer SF,40000,52000,5,Suzuki,0
4968,Hero Splendor Plus,35000,13328,4,Hero,0
4969,Bajaj Pulsar NS200,54500,14000,6,Bajaj,0
4970,Bajaj Platina 100cc,20700,32340,7,Bajaj,0
4971,Honda CBR 250R,90000,31074,8,Honda,0
4972,Honda CBR 250R,78400,23180,8,Honda,2
4974,KTM Duke 250cc,198599,930,3,KTM,0
4976,Hero HF Deluxe,32000,43000,6,Hero,0
4977,Bajaj Avenger Cruise,69000,3542,3,Bajaj,0
4978,Bajaj Avenger Street,66000,26592,4,Bajaj,0
4979,TVS Apache RTR,45000,18000,5,TVS,0
4980,Bajaj Platina 100cc,23000,18000,9,Bajaj,0
4981,Bajaj Pulsar 220cc,51000,39766,7,Bajaj,0
4982,TVS Apache RTR,36000,21657,9,TVS,0
4983,Royal Enfield Classic,145500,33486,4,Royal Enfield,0
4984,TVS Star Sport,11000,52000,14,TVS,0
4985,Hero HF Deluxe,22000,18000,8,Hero,0
4987,Yamaha FZ 150cc,29000,35200,11,Yamaha,0
4988,Honda Livo 110cc,46000,12974,4,Honda,0
4989,Yamaha Fazer 150cc,35000,24000,9,Yamaha,0
4990,Bajaj Pulsar 150cc,55000,19309,5,Bajaj,0
4991,Yamaha FZ 150cc,44000,21460,7,Yamaha,0
4992,TVS Star City,28000,25639,9,TVS,0
4993,Hero Honda Splendor,24000,45238,10,Hero,0
4994,Bajaj Pulsar 135LS,33000,5188,6,Bajaj,0
4995,Bajaj Pulsar 135LS,21316,39000,11,Bajaj,0
4996,Royal Enfield Thunderbird,110000,15400,4,Royal Enfield,0
4997,Hero HF Deluxe,36000,17000,4,Hero,2
4998,Bajaj Dominar 400,115000,13797,4,Bajaj,0
4999,Royal Enfield Bullet,82000,15418,10,Royal Enfield,2
5000,Hero Karizma R,20000,73317,13,Hero,2
5001,Royal Enfield Classic,96300,28000,9,Royal Enfield,0
5002,Royal Enfield Classic,97000,41211,7,Royal Enfield,0
5003,Royal Enfield Classic,85000,24592,10,Royal Enfield,0
5004,Honda Dream Yuga,47600,18000,4,Honda,0
5005,Honda CB Unicorn,33000,15250,9,Honda,0
5006,Bajaj Discover 100cc,19000,26527,16,Bajaj,0
5007,TVS Jive 110cc,10000,35000,11,TVS,2
5008,Bajaj Pulsar RS200,101697,7734,4,Bajaj,0
5009,Bajaj Pulsar 220F,48000,54990,6,Bajaj,0
5010,Bajaj Pulsar 220F,46500,16540,6,Bajaj,2
5011,Bajaj CT 100,10000,37066,16,Bajaj,2
5012,Hero Glamour Disc,39000,52000,6,Hero,0
5013,Honda CB Unicorn,35000,24000,11,Honda,0
5014,Royal Enfield Himalayan,135000,9600,5,Royal Enfield,0
5015,Hero Glamour Disc,24000,65000,11,Hero,0
5018,TVS Apache RTR,45000,18611,5,TVS,0
5019,Bajaj Avenger 220cc,40000,3443,6,Bajaj,0
5020,Bajaj Avenger 220cc,32000,10576,8,Bajaj,0
5021,Royal Enfield Thunderbird,104400,41000,5,Royal Enfield,0
5022,Suzuki Gixxer 150cc,38000,25000,6,Suzuki,0
5023,Hero Passion Pro,61000,5250,3,Hero,0
5024,Mahindra Mojo 300cc,107000,5000,3,Mahindra,0
5025,Bajaj Pulsar RS200,100400,5300,6,Bajaj,0
5026,Royal Enfield Standard,109000,13110,5,Royal Enfield,2
5027,Suzuki Gixxer 150cc,40362,14653,6,Suzuki,0
5028,Hero Passion Plus,13000,65000,14,Hero,0
5029,Bajaj Dominar 400,130000,23400,4,Bajaj,0
5030,Bajaj Pulsar RS200,70000,25240,6,Bajaj,0
5031,Royal Enfield Classic,120000,13560,4,Royal Enfield,0
5032,Hero Passion Pro,42000,26839,3,Hero,0
5033,Honda CB Twister,13500,50000,10,Honda,0
5034,Hero Karizma ZMR,70000,10000,4,Hero,3
5035,Bajaj V15 150cc,35000,35020,5,Bajaj,0
5036,Bajaj Pulsar RS200,80000,42173,5,Bajaj,0
5037,KTM RC 200cc,105000,28000,6,KTM,0
5038,Bajaj V15 150cc,42000,12000,4,Bajaj,0
5039,Bajaj Pulsar 150cc,20000,36903,12,Bajaj,0
5040,Bajaj Avenger Cruise,61500,15264,4,Bajaj,0
5041,TVS Apache RR310,190000,6000,3,TVS,0
5042,TVS Apache RTR,75000,18304,4,TVS,0
5043,Bajaj V15 150cc,40000,17038,5,Bajaj,0
5044,Bajaj V15 150cc,35000,23297,5,Bajaj,2
5045,Honda CBF Stunner,24500,51999,7,Honda,0
5046,Bajaj Pulsar 150cc,60000,7312,2,Bajaj,0
5047,KTM Duke 200cc,143000,2963,3,KTM,0
5048,TVS Apache RTR,20000,20000,14,TVS,0
5049,Bajaj Pulsar 150cc,35000,47000,10,Bajaj,0
5050,Royal Enfield Thunderbird,95000,9000,6,Royal Enfield,0
5051,Hero Karizma ZMR,28000,47098,9,Hero,0
5052,Bajaj V15 150cc,45000,17900,5,Bajaj,0
5053,Hero Passion Pro,25000,14002,10,Hero,2
5054,Royal Enfield Bullet,75000,24203,7,Royal Enfield,0
